cost_id,facility_id,expense_type,vendor,cost_amount,expense_date,fiscal_year
COST-000027,FAC-0093,HVAC,Rogers-Thompson,28372.02,2025-02-03,2023
COST-000028,FAC-0019,Plumbing,Garcia-Neal,5421.14,2025-11-09,2023
COST-000029,FAC-0027,IT Services,Padilla PLC,16732.59,2025-11-11,2024
COST-000030,FAC-0046,IT Services,Daugherty-Miller,9596.7,2025-04-05,2025
COST-000031,FAC-0044,IT Services,"Bell, Knight and Cooper",48195.73,2025-01-08,2025
COST-000032,FAC-0056,Electrical,Cain PLC,46142.62,2025-09-02,2025
COST-000033,FAC-0028,Electrical,"Thompson, Nguyen and Harris",13128.46,2025-10-28,2024
COST-000034,FAC-0071,Plumbing,"Price, Maynard and Taylor",9538.71,2025-01-05,2025
COST-000035,FAC-0042,IT Services,Winters Ltd,19455.53,2025-04-23,2023
COST-000036,FAC-0010,HVAC,"York, Richardson and Moore",46733.99,2025-06-14,2025
COST-000037,FAC-0048,Electrical,Frazier-Cook,44262.4,2024-12-22,2024
COST-000038,FAC-0024,HVAC,Taylor PLC,41457.8,2025-04-01,2023
COST-000039,FAC-0086,HVAC,Green Ltd,1770.93,2025-10-08,2023
COST-000040,FAC-0025,Plumbing,Miller PLC,22930.21,2025-09-21,2023
COST-000041,FAC-0034,IT Services,Thomas Inc,10474.82,2025-02-17,2023
COST-000042,FAC-0003,Plumbing,"Koch, Park and Smith",11676.34,2025-03-06,2024
COST-000043,FAC-0092,IT Services,"Tucker, Montes and Dickson",25271.29,2025-10-26,2025
COST-000044,FAC-0087,IT Services,King Inc,39093.4,2024-12-17,2025
COST-000045,FAC-0004,Electrical,Jackson-Nunez,27653.23,2025-05-24,2025
COST-000046,FAC-0041,HVAC,Kerr LLC,28497.14,2025-03-07,2024
COST-000047,FAC-0049,Electrical,Houston-Dougherty,7734.23,2025-02-06,2025
COST-000048,FAC-0012,IT Services,Phillips-Blankenship,21963.89,2025-05-18,2024
COST-000049,FAC-0009,IT Services,Craig-Hunt,13248.45,2025-02-10,2023
COST-000050,FAC-0039,HVAC,Murphy Inc,42089.47,2025-10-31,2023
COST-000051,FAC-0020,HVAC,Dickson and Sons,26874.42,2025-06-23,2024
COST-000052,FAC-0007,HVAC,Torres and Sons,8183.15,2025-10-16,2025
COST-000053,FAC-0079,Plumbing,Ramos-Johnson,21164.0,2025-02-10,2024
COST-000054,FAC-0024,IT Services,Griffith LLC,37605.16,2025-01-15,2025
COST-000055,FAC-0097,HVAC,Nixon-Peck,10028.62,2025-05-01,2023
COST-000056,FAC-0067,HVAC,"Watson, Ellis and Yates",31218.06,2025-02-18,2023
COST-000057,FAC-0002,HVAC,Payne-Soto,910.46,2025-05-13,2024
COST-000058,FAC-0052,Electrical,"Collier, Ruiz and Marshall",10854.76,2025-02-12,2023
COST-000059,FAC-0030,Electrical,"Rodriguez, Cox and Ramos",11051.03,2025-08-28,2024
COST-000060,FAC-0053,IT Services,Mann-Bird,22104.56,2025-01-04,2025
COST-000061,FAC-0089,Electrical,Sanchez-Lang,33549.34,2025-03-12,2024
COST-000062,FAC-0059,Plumbing,Williams-Sanchez,46647.45,2025-02-10,2023
COST-000063,FAC-0057,IT Services,Cline-Williams,7185.52,2025-09-17,2024
COST-000064,FAC-0079,Plumbing,"Cortez, Gillespie and Banks",37570.1,2025-03-03,2024
COST-000065,FAC-0032,Electrical,Contreras LLC,8760.68,2025-09-13,2025
COST-000066,FAC-0048,HVAC,Bridges PLC,2896.9,2025-04-02,2023
COST-000067,FAC-0030,Plumbing,"Frazier, Patel and Crawford",40821.63,2025-05-04,2023
COST-000068,FAC-0031,Electrical,Hall-Edwards,10917.56,2025-03-11,2025
COST-000069,FAC-0017,Electrical,"Ross, White and Dennis",6440.08,2025-10-27,2024
COST-000070,FAC-0059,Electrical,Hicks LLC,47332.75,2025-07-16,2025
COST-000071,FAC-0095,Electrical,Rojas-Rose,4634.26,2025-09-17,2025
COST-000072,FAC-0021,HVAC,Edwards and Sons,33129.68,2025-02-19,2023
COST-000073,FAC-0038,Electrical,White LLC,44065.89,2025-06-23,2023
COST-000074,FAC-0057,IT Services,Herman LLC,45822.96,2025-04-16,2024
COST-000075,FAC-0085,IT Services,Riley-Brown,36509.4,2025-03-03,2023
COST-000076,FAC-0061,IT Services,George Group,16123.63,2025-11-27,2024
COST-000077,FAC-0053,Electrical,Phillips-Mann,31152.7,2025-03-10,2025
COST-000078,FAC-0024,Plumbing,Young-Jones,2597.32,2025-03-16,2024
COST-000079,FAC-0082,HVAC,Hernandez-Smith,26887.46,2025-01-28,2024
COST-000080,FAC-0020,IT Services,"Baker, Delgado and Ramirez",31483.22,2025-03-06,2024
COST-000081,FAC-0065,Electrical,"Henderson, Jones and Mclaughlin",9075.95,2025-05-13,2024
COST-000082,FAC-0077,Electrical,Gutierrez Ltd,40152.96,2025-04-09,2025
COST-000083,FAC-0089,Plumbing,"Morris, Gallagher and Gomez",19325.34,2025-10-28,2025
COST-000084,FAC-0037,Plumbing,Lloyd-Green,45751.42,2025-10-03,2025
COST-000085,FAC-0095,HVAC,Sullivan Inc,47363.0,2025-06-12,2024
COST-000086,FAC-0032,HVAC,"Green, Lambert and Lawson",22623.34,2025-11-15,2023
COST-000087,FAC-0024,Electrical,"Nelson, Sims and Frank",6586.54,2025-01-04,2023
COST-000088,FAC-0007,Electrical,Pham-Cook,26592.7,2025-08-29,2025
COST-000089,FAC-0006,HVAC,"Moran, Ross and Lewis",34874.76,2025-02-21,2025
COST-000090,FAC-0071,IT Services,"Hinton, Rodriguez and Smith",40386.39,2025-05-19,2025
COST-000091,FAC-0079,Electrical,"Snyder, Murray and Parker",33513.52,2025-08-13,2023
COST-000092,FAC-0059,Electrical,"Thomas, Barber and Wise",43161.4,2025-08-06,2024
COST-000093,FAC-0038,Electrical,"Adams, Scott and Castro",39917.09,2025-07-18,2023
COST-000094,FAC-0077,HVAC,Kramer Ltd,17690.84,2024-12-20,2025
COST-000095,FAC-0080,Plumbing,Payne-Wilson,34752.8,2025-11-08,2023
COST-000096,FAC-0077,Plumbing,"Snyder, Griffith and Buckley",36787.41,2025-07-01,2023
COST-000097,FAC-0064,Electrical,Davis and Sons,8715.91,2025-03-17,2023
COST-000098,FAC-0064,IT Services,Davis-Campbell,37447.07,2025-04-23,2023
COST-000099,FAC-0029,IT Services,"Park, Brock and Morrow",9171.22,2025-08-31,2023
COST-000100,FAC-0047,Plumbing,"Miller, Manning and Palmer",7567.71,2025-01-05,2023
COST-000101,FAC-0049,HVAC,Williams-Gonzalez,18906.52,2025-04-08,2024
COST-000102,FAC-0088,Plumbing,Thornton Inc,29596.02,2025-09-22,2025
COST-000103,FAC-0049,HVAC,Hart-Durham,45447.7,2025-05-19,2025
COST-000104,FAC-0095,Electrical,"Noble, Rivera and Garcia",34648.57,2025-04-16,2023
COST-000105,FAC-0026,Plumbing,Vincent-Perez,14791.94,2025-01-14,2024
COST-000106,FAC-0003,Plumbing,Peterson-Lindsey,25159.95,2025-11-18,2025
COST-000107,FAC-0064,Plumbing,Green-Johnson,686.0,2025-01-30,2024
COST-000108,FAC-0003,HVAC,Dean-Luna,615.19,2025-08-04,2024
COST-000109,FAC-0079,IT Services,Carson Inc,38321.17,2025-08-13,2025
COST-000110,FAC-0045,Electrical,Rodriguez Group,30642.66,2025-09-14,2024
COST-000111,FAC-0025,IT Services,"Gutierrez, Johnson and Stewart",24892.08,2025-08-02,2025
COST-000112,FAC-0090,HVAC,Soto and Sons,19923.32,2025-05-26,2025
COST-000113,FAC-0085,HVAC,Shannon-West,8081.92,2025-09-13,2025
COST-000114,FAC-0095,Plumbing,Calhoun-Graham,20764.33,2025-02-25,2024
COST-000115,FAC-0024,IT Services,Beck-Medina,46071.97,2025-02-13,2024
COST-000116,FAC-0041,HVAC,"Gonzalez, Woodard and Williams",8084.9,2025-08-03,2024
COST-000117,FAC-0073,HVAC,Williams PLC,975.09,2024-12-17,2023
COST-000118,FAC-0052,Plumbing,Ramirez PLC,27182.57,2025-12-05,2023
COST-000119,FAC-0078,HVAC,"Jacobs, Cochran and Clarke",1486.07,2024-12-21,2024
COST-000120,FAC-0074,HVAC,Stevenson-Cunningham,7630.38,2025-05-16,2024
COST-000121,FAC-0015,Electrical,"Jackson, Navarro and Frost",16196.76,2024-12-25,2024
COST-000122,FAC-0028,Electrical,Campbell Group,7666.57,2025-02-17,2024
COST-000123,FAC-0041,IT Services,"Palmer, Ramirez and Conley",11706.31,2025-05-30,2023
COST-000124,FAC-0060,HVAC,Park and Sons,32323.05,2025-10-23,2023
COST-000125,FAC-0080,Plumbing,Burke-Jones,33237.61,2025-06-11,2023
COST-000126,FAC-0006,IT Services,Baxter-Fernandez,18911.46,2025-04-13,2024
COST-000127,FAC-0085,Plumbing,Weaver-Carr,31212.77,2025-05-05,2023
COST-000128,FAC-0083,Plumbing,Moss-Rivera,4945.09,2025-03-21,2023
COST-000129,FAC-0093,Electrical,Hahn-Vargas,11229.46,2025-11-16,2025
COST-000130,FAC-0098,Electrical,Goodman PLC,2276.11,2025-09-26,2025
COST-000131,FAC-0069,HVAC,Harrison-Hale,35248.19,2025-12-07,2023
COST-000132,FAC-0009,Electrical,Kemp-Smith,8921.33,2025-10-15,2023
COST-000133,FAC-0013,HVAC,"Watts, Mathews and Perez",39127.34,2025-05-13,2024
COST-000134,FAC-0096,Plumbing,Goodwin-Taylor,25616.95,2025-01-18,2023
COST-000135,FAC-0092,Plumbing,Baker-Reeves,26962.49,2025-06-10,2024
COST-000136,FAC-0070,IT Services,"Taylor, Johnson and Little",26835.69,2025-09-11,2024
COST-000137,FAC-0039,Electrical,"Adkins, Melton and Jennings",5288.66,2025-05-29,2025
COST-000138,FAC-0015,Plumbing,"Sutton, Murray and Warner",13180.98,2025-07-11,2025
COST-000139,FAC-0008,IT Services,Bell LLC,15534.26,2025-05-23,2024
COST-000140,FAC-0097,HVAC,Hill-Mann,41874.87,2025-10-22,2025
COST-000141,FAC-0001,Electrical,Ballard-Allen,39751.16,2025-11-05,2023
COST-000142,FAC-0073,IT Services,"Simmons, Campos and Hayes",22167.98,2025-04-05,2025
COST-000143,FAC-0062,HVAC,Holt-Lewis,41612.22,2025-04-23,2025
COST-000144,FAC-0042,IT Services,Kennedy-Moss,31926.51,2025-01-21,2024
COST-000145,FAC-0052,Plumbing,Stokes Inc,38776.03,2025-04-19,2023
COST-000146,FAC-0077,IT Services,Wall Ltd,36238.6,2025-11-21,2023
COST-000147,FAC-0038,HVAC,Johnson-Smith,5678.47,2025-08-03,2023
COST-000148,FAC-0092,IT Services,Lam Inc,40452.3,2025-06-02,2023
COST-000149,FAC-0010,HVAC,"Murphy, Smith and Contreras",9232.78,2024-12-24,2024
COST-000150,FAC-0089,Electrical,Hanson-Gonzales,2369.06,2024-12-21,2023
COST-000151,FAC-0079,Plumbing,"Robertson, Holland and Weiss",26641.69,2025-10-29,2023
COST-000152,FAC-0037,IT Services,Burke-Roberts,46889.28,2025-03-11,2025
COST-000153,FAC-0099,Electrical,"Parker, Duke and Velazquez",4593.38,2024-12-25,2025
COST-000154,FAC-0058,HVAC,Garcia-Conrad,41286.58,2025-12-02,2024
COST-000155,FAC-0076,Plumbing,Riley-Hubbard,28810.83,2025-11-24,2025
COST-000156,FAC-0013,HVAC,"Mason, Davis and Flores",25732.99,2025-10-01,2023
COST-000157,FAC-0015,Electrical,Bennett Group,2944.95,2025-03-16,2024
COST-000158,FAC-0055,IT Services,Keller PLC,1144.74,2025-10-14,2025
COST-000159,FAC-0096,HVAC,Perez PLC,35340.9,2025-11-20,2023
COST-000160,FAC-0001,Plumbing,Scott-Gill,46818.69,2025-03-21,2025
COST-000161,FAC-0021,Plumbing,Vincent-Harris,9750.25,2025-06-16,2024
COST-000162,FAC-0025,Electrical,Gonzales-Reyes,292.06,2025-05-12,2025
COST-000163,FAC-0006,Plumbing,Jones-Stone,40499.69,2025-10-09,2024
COST-000164,FAC-0032,HVAC,Harper Group,27536.68,2025-03-02,2023
COST-000165,FAC-0046,HVAC,Ellis Ltd,46252.75,2025-10-04,2025
COST-000166,FAC-0022,Electrical,Clements and Sons,3076.1,2025-09-29,2024
COST-000167,FAC-0069,IT Services,Smith-Shields,8284.3,2025-03-05,2024
COST-000168,FAC-0097,IT Services,"Roberson, Franklin and Adams",46684.76,2025-01-15,2023
COST-000169,FAC-0023,HVAC,Owens PLC,44112.51,2025-08-20,2025
COST-000170,FAC-0079,IT Services,"Cook, Fernandez and Zavala",33691.43,2025-11-10,2023
COST-000171,FAC-0028,IT Services,"Hansen, Bullock and Marshall",20434.7,2025-01-29,2025
COST-000172,FAC-0011,Plumbing,Blake-Miller,31786.49,2025-03-14,2025
COST-000173,FAC-0070,IT Services,Fritz-Turner,8933.95,2025-04-07,2024
COST-000174,FAC-0014,HVAC,"Harrell, James and Hunter",21759.27,2025-10-02,2024
COST-000175,FAC-0100,Electrical,Fields-Kramer,140.94,2025-06-13,2023
COST-000176,FAC-0025,HVAC,Fox PLC,33224.82,2025-03-01,2023
COST-000177,FAC-0026,HVAC,Jackson PLC,35873.12,2025-04-21,2023
COST-000178,FAC-0013,HVAC,"Brown, Hill and Horton",17531.45,2025-11-02,2023
COST-000179,FAC-0060,Electrical,"Robertson, Moore and Contreras",26464.91,2025-03-07,2024
COST-000180,FAC-0091,Electrical,Roman-Roberts,20362.42,2025-08-06,2024
COST-000181,FAC-0064,IT Services,Petersen and Sons,4839.1,2025-11-28,2023
COST-000182,FAC-0055,Plumbing,Butler-Mullins,41293.54,2025-10-16,2023
COST-000183,FAC-0001,Electrical,Smith LLC,42829.4,2025-03-29,2024
COST-000184,FAC-0032,Electrical,"Rivera, Yang and Miller",31096.38,2025-04-10,2024
COST-000185,FAC-0078,IT Services,Christian and Sons,47830.47,2025-02-03,2023
COST-000186,FAC-0059,Electrical,Baker Inc,17681.93,2025-07-29,2025
COST-000187,FAC-0054,HVAC,Lewis Ltd,27096.79,2025-01-07,2024
COST-000188,FAC-0045,IT Services,"Sanchez, Moran and Perry",8991.93,2025-10-25,2025
COST-000189,FAC-0003,HVAC,"Ruiz, Guerrero and Young",35104.61,2025-08-19,2024
COST-000190,FAC-0048,IT Services,Hunt PLC,26739.94,2024-12-20,2023
COST-000191,FAC-0079,Plumbing,Bautista-Jones,28779.83,2025-11-03,2023
COST-000192,FAC-0018,Plumbing,Nelson-Mayo,22466.05,2025-01-20,2024
COST-000193,FAC-0079,HVAC,Haynes Inc,17237.09,2025-06-19,2023
COST-000194,FAC-0078,Plumbing,Cabrera-Moore,33591.01,2025-09-18,2025
COST-000195,FAC-0082,Electrical,"Faulkner, Villarreal and Wyatt",38223.41,2025-03-10,2025
COST-000196,FAC-0039,HVAC,"Anderson, Carrillo and Martinez",29008.65,2025-05-02,2025
COST-000197,FAC-0003,IT Services,"Morgan, Maldonado and Fleming",13479.04,2025-03-03,2024
COST-000198,FAC-0019,IT Services,"Russell, Pratt and Montgomery",21210.26,2024-12-19,2024
COST-000199,FAC-0009,IT Services,"Hanson, Robbins and Mills",28747.31,2025-01-01,2024
COST-000200,FAC-0063,Electrical,Jones Ltd,28165.55,2025-06-03,2025
COST-000201,FAC-0077,IT Services,"Haas, Henderson and Johnson",15418.98,2025-01-24,2025
COST-000202,FAC-0064,Plumbing,Sullivan-Cole,28001.58,2025-11-25,2025
COST-000203,FAC-0080,Plumbing,Holland and Sons,20340.84,2025-03-30,2023
COST-000204,FAC-0066,HVAC,Decker-George,40156.11,2024-12-21,2025
COST-000205,FAC-0039,Electrical,"Sims, Horton and Alexander",20606.58,2025-01-20,2023
COST-000206,FAC-0037,IT Services,Macdonald-Bennett,25997.48,2025-08-18,2025
COST-000207,FAC-0044,HVAC,"Williams, Andrews and Davis",19993.53,2025-07-01,2025
COST-000208,FAC-0069,Electrical,Montgomery LLC,49862.35,2025-08-19,2024
COST-000209,FAC-0100,Electrical,Phillips and Sons,13334.53,2025-11-26,2024
COST-000210,FAC-0002,HVAC,Franklin-Morales,33177.78,2024-12-22,2025
COST-000211,FAC-0051,Electrical,Cook-Dixon,16400.68,2025-12-02,2023
COST-000212,FAC-0016,Electrical,"Smith, Barron and Lopez",8284.92,2025-11-17,2023
COST-000213,FAC-0059,Electrical,Schmidt-Nguyen,19895.71,2025-01-22,2024
COST-000214,FAC-0071,Electrical,"Huang, Bryant and Callahan",1002.1,2025-09-05,2025
COST-000215,FAC-0023,Plumbing,Best PLC,26778.6,2025-07-24,2024
COST-000216,FAC-0046,Electrical,Maynard Inc,38531.6,2025-01-04,2023
COST-000217,FAC-0072,HVAC,Myers PLC,43759.21,2025-08-02,2023
COST-000218,FAC-0043,IT Services,Hartman PLC,15325.55,2025-03-06,2025
COST-000219,FAC-0071,HVAC,Alvarado Ltd,30980.83,2025-09-10,2025
COST-000220,FAC-0061,Plumbing,Brown LLC,41687.04,2025-06-20,2025
COST-000221,FAC-0014,Plumbing,Sullivan-Macdonald,20858.1,2025-08-26,2023
COST-000222,FAC-0002,HVAC,"Dean, Parker and Elliott",46280.17,2025-05-20,2024
COST-000223,FAC-0048,Electrical,Booth-Orozco,2457.44,2025-10-28,2023
COST-000224,FAC-0006,Plumbing,"Sanchez, Raymond and Dickerson",36038.17,2025-06-25,2025
COST-000225,FAC-0052,Electrical,Farrell PLC,29649.48,2025-10-13,2025
COST-000226,FAC-0046,HVAC,Brown-Turner,962.64,2025-07-17,2024
COST-000227,FAC-0050,Plumbing,Fisher-Booker,4944.86,2025-04-21,2024
COST-000228,FAC-0099,HVAC,Fitzgerald Inc,41290.85,2025-10-11,2025
COST-000229,FAC-0086,Plumbing,Ross Group,21656.46,2025-04-03,2025
COST-000230,FAC-0007,IT Services,Ross-Roberts,45707.63,2025-07-04,2023
COST-000231,FAC-0084,Electrical,"Martin, Anderson and Pierce",26587.89,2025-07-10,2023
COST-000232,FAC-0054,Electrical,Garcia-Allison,1658.38,2025-01-05,2025
COST-000233,FAC-0097,HVAC,"Perry, Parker and Hebert",21443.57,2025-11-29,2025
COST-000234,FAC-0016,Electrical,Roman-Collins,11623.22,2024-12-15,2024
COST-000235,FAC-0039,Plumbing,Clark-Hawkins,6663.18,2025-09-03,2025
COST-000236,FAC-0006,IT Services,Montgomery-Smith,24249.0,2025-05-12,2025
COST-000237,FAC-0044,IT Services,Harding LLC,27975.44,2025-07-19,2024
COST-000238,FAC-0048,HVAC,Dickerson Inc,15114.09,2025-04-15,2023
COST-000239,FAC-0049,HVAC,Massey-Peterson,39391.13,2025-02-05,2023
COST-000240,FAC-0015,Plumbing,Hayes-Roach,45517.04,2024-12-18,2025
COST-000241,FAC-0077,IT Services,Boyd-Williams,43624.91,2025-10-27,2023
COST-000242,FAC-0041,IT Services,Hamilton-Klein,38429.11,2025-08-03,2023
COST-000243,FAC-0024,Electrical,"Jordan, Martin and Moreno",30488.52,2025-07-10,2024
COST-000244,FAC-0031,HVAC,Brown PLC,46600.32,2025-11-03,2025
COST-000245,FAC-0085,Plumbing,"Molina, Escobar and Neal",22034.88,2025-11-29,2023
COST-000246,FAC-0034,IT Services,"Torres, Rogers and Phillips",15434.43,2025-07-22,2024
COST-000247,FAC-0039,Plumbing,"Ellis, Jackson and Young",34268.24,2025-03-22,2024
COST-000248,FAC-0048,HVAC,Carter-Smith,30079.04,2025-08-25,2024
COST-000249,FAC-0022,Electrical,Martinez-Boyle,42420.35,2025-08-28,2023
COST-000250,FAC-0069,HVAC,Mayer Inc,15695.74,2025-09-17,2024
COST-000251,FAC-0011,HVAC,Ryan-Johnson,14444.75,2025-02-16,2025
COST-000252,FAC-0045,HVAC,Krause-Jacobs,5171.21,2024-12-20,2025
COST-000253,FAC-0077,Electrical,Williams LLC,265.88,2025-02-03,2023
COST-000254,FAC-0051,HVAC,Floyd-Brewer,32954.76,2025-02-09,2023
COST-000255,FAC-0009,IT Services,"Carter, Parker and Mason",11917.75,2025-06-02,2025
COST-000256,FAC-0019,IT Services,Keller-Ellison,24783.21,2025-01-27,2024
COST-000257,FAC-0099,Plumbing,Avila Inc,26849.98,2025-12-11,2025
COST-000258,FAC-0094,HVAC,"Jackson, Hammond and Brown",30912.53,2025-05-14,2025
COST-000259,FAC-0042,Plumbing,Leonard PLC,27751.78,2025-11-24,2023
COST-000260,FAC-0024,Plumbing,Hahn-Jones,8598.53,2025-06-29,2024
COST-000261,FAC-0018,Plumbing,Johnson Ltd,5160.02,2025-10-01,2023
COST-000262,FAC-0065,Plumbing,Griffin-Whitehead,24513.75,2025-02-07,2025
COST-000263,FAC-0011,IT Services,Little-Kaufman,3421.35,2025-04-28,2024
COST-000264,FAC-0007,Electrical,Massey LLC,18227.31,2025-08-12,2025
COST-000265,FAC-0012,Plumbing,"Williams, Smith and Acevedo",22467.02,2024-12-29,2024
COST-000266,FAC-0035,IT Services,"Martinez, Lewis and Soto",11593.02,2025-03-23,2024
COST-000267,FAC-0082,HVAC,Torres-Ellis,17895.44,2025-01-28,2023
COST-000268,FAC-0039,IT Services,Salas PLC,43704.87,2025-11-23,2025
COST-000269,FAC-0096,Plumbing,Cohen PLC,5695.54,2025-11-12,2024
COST-000270,FAC-0016,Plumbing,"Cooper, Webster and Williams",29070.99,2025-04-16,2025
COST-000271,FAC-0074,IT Services,"Carr, Jordan and Tran",10052.0,2025-12-12,2024
COST-000272,FAC-0078,HVAC,Sherman PLC,1928.69,2025-10-09,2023
COST-000273,FAC-0063,Electrical,Flores PLC,11190.05,2025-11-06,2023
COST-000274,FAC-0068,HVAC,Brown Group,21122.14,2025-08-16,2023
COST-000275,FAC-0089,HVAC,"Hart, Bates and Johns",12058.33,2025-05-30,2025
COST-000276,FAC-0067,HVAC,Curtis-Tanner,21413.49,2025-08-30,2023
COST-000277,FAC-0066,IT Services,"Estrada, Watson and Cruz",25350.78,2025-06-11,2023
COST-000278,FAC-0072,Electrical,Collier-White,17696.06,2025-10-29,2023
COST-000279,FAC-0062,IT Services,Diaz LLC,9895.33,2025-03-14,2024
COST-000280,FAC-0072,IT Services,Phillips-White,9279.33,2025-06-17,2025
COST-000281,FAC-0009,Plumbing,Bell-Meyer,9158.81,2025-11-28,2024
COST-000282,FAC-0089,Plumbing,Mccoy LLC,20488.83,2025-09-28,2025
COST-000283,FAC-0028,Plumbing,Barry and Sons,36474.03,2025-09-30,2024
COST-000284,FAC-0066,Electrical,Moon PLC,5166.21,2025-04-12,2025
COST-000285,FAC-0014,Plumbing,"Duncan, Lambert and Clarke",21300.3,2025-07-22,2024
COST-000286,FAC-0025,Plumbing,Arnold-Strickland,14032.89,2025-06-18,2024
COST-000287,FAC-0064,Electrical,Herring-Johnson,36787.51,2025-05-30,2024
COST-000288,FAC-0096,IT Services,Ramirez-Jacobson,46682.42,2025-04-01,2025
COST-000289,FAC-0051,Electrical,Phillips-Luna,49348.15,2025-04-01,2023
COST-000290,FAC-0027,IT Services,Morgan and Sons,6913.93,2025-04-16,2025
COST-000291,FAC-0074,Plumbing,Moreno-Reid,44444.07,2025-08-02,2025
COST-000292,FAC-0056,Plumbing,Robertson-Hunt,48586.27,2025-10-23,2024
COST-000293,FAC-0007,Electrical,Beard LLC,34505.74,2025-05-08,2023
COST-000294,FAC-0007,Plumbing,Garcia-Cross,24036.56,2025-06-19,2025
COST-000295,FAC-0003,HVAC,Nielsen PLC,41649.75,2025-07-26,2025
COST-000296,FAC-0091,Plumbing,Fleming Ltd,8269.92,2025-09-20,2025
COST-000297,FAC-0011,IT Services,"Rush, Howe and Conway",33212.2,2025-10-31,2024
COST-000298,FAC-0037,HVAC,Perez LLC,32562.5,2025-08-27,2024
COST-000299,FAC-0036,Plumbing,Hawkins-Warren,31000.73,2025-05-03,2025
COST-000300,FAC-0079,IT Services,Yang LLC,29183.66,2025-02-01,2024
COST-000301,FAC-0022,Plumbing,Ellis-Barnett,41211.87,2025-03-19,2024
COST-000302,FAC-0043,Plumbing,Cabrera-Williams,37736.26,2025-09-14,2023
COST-000303,FAC-0067,Electrical,Stewart-Arellano,42145.09,2025-07-27,2023
COST-000304,FAC-0023,HVAC,Hartman-Walker,3665.71,2025-05-26,2025
COST-000305,FAC-0075,IT Services,"Valdez, Gonzales and Price",36583.29,2025-07-23,2025
COST-000306,FAC-0085,Electrical,Long and Sons,41018.08,2025-10-25,2024
COST-000307,FAC-0068,HVAC,Hansen LLC,32000.96,2025-04-21,2024
COST-000308,FAC-0011,IT Services,Roy-Alexander,818.0,2025-03-27,2024
COST-000309,FAC-0097,Plumbing,Gonzalez-Baker,45803.61,2025-03-29,2024
COST-000310,FAC-0043,Electrical,Tucker-Hall,39516.39,2025-01-15,2023
COST-000311,FAC-0055,IT Services,"Myers, Johnson and Cline",38051.42,2025-09-24,2023
COST-000312,FAC-0067,IT Services,Gibson LLC,49103.92,2025-11-20,2023
COST-000313,FAC-0011,HVAC,"Bolton, Hill and Phillips",36333.36,2025-09-05,2025
COST-000314,FAC-0004,HVAC,Bass-Avila,26455.34,2025-02-11,2024
COST-000315,FAC-0097,IT Services,Barnett Inc,42461.17,2025-06-25,2023
COST-000316,FAC-0100,Electrical,Morales and Sons,28948.3,2025-01-30,2025
COST-000317,FAC-0063,Electrical,Suarez-Sparks,13827.6,2025-01-22,2024
COST-000318,FAC-0074,Electrical,"Smith, Schroeder and Neal",44386.65,2024-12-17,2023
COST-000319,FAC-0095,HVAC,Brown-Armstrong,41686.39,2025-05-21,2024
